fastfood_restaurant,12
coffee_shop,45
candy_store,108
childs_room,179
conference_center,292
assembly_line,324
campsite,8
youth_hostel,49
galley,211
aquarium,221
valley,337
railroad_track,80
entrance_hall,170
home_office,191
restaurant_kitchen,210
repair_shop,41
mausoleum,173
plaza,194
cockpit,288
corn_field,344
street,5
booth/indoor,159
playground,104
ski_slope,130
locker_room,197
forest_path,243
greenhouse/outdoor,268
mountain_path,286
swimming_hole,323
wind_farm,353
highway,6
crevasse,128
greenhouse/indoor,142
corridor,181
bus_interior,203
ice_cream_parlor,207
rope_bridge,291
alley,25
shower,99
sandbox,110
oast_house,116
topiary_garden,216
clothing_store,10
canal/urban,73
ticket_booth,97
butte,301
playroom,57
office_building,250
beer_garden,309
operating_room,319
dressing_room,257
hotel/outdoor,1
bazaar/outdoor,26
courtyard,136
wheat_field,145
athletic_field/outdoor,152
lighthouse,163
underwater/ocean_deep,217
tree_house,332
bookstore,46
bakery/shop,208
arch,233
nursing_home,357
islet,27
movie_theater/indoor,103
science_museum,169
amphitheater,262
barn,334
ocean,314
subway_station/platform,76
forest_road,139
golf_course,150
boat_deck,164
art_gallery,190
jacuzzi/indoor,297
nursery,305
snowfield,237
embassy,2
bazaar/indoor,24
food_court,32
pizzeria,50
mosque/outdoor,95
campus,137
slum,168
cabin/outdoor,271
restaurant_patio,306
synagogue/outdoor,229
department_store,9
sky,30
basement,34
ice_shelf,177
physics_laboratory,311
hospital_room,338
cliff,218
television_room,254
laundromat,255
archaelogical_excavation,287
shed,308
ski_resort,317
courthouse,326
waterfall,322
junkyard,51
boardwalk,81
zen_garden,86
rice_paddy,120
soccer_field,124
field/wild,126
chemistry_lab,310
diner/outdoor,346
fire_station,64
swimming_pool/outdoor,289
football_field,340
runway,153
arena/performance,185
motel,248
engine_room,290
fishpond,121
field_road,148
volleyball_court/outdoor,155
jewelry_shop,160
volcano,219
hayfield,244
museum/outdoor,247
desert/sand,284
construction_site,84
elevator_shaft,89
glacier,129
attic,131
ballroom,199
dam,201
boathouse,241
shopping_mall/indoor,299
raft,352
sushi_bar,17
toyshop,56
aqueduct,282
legislative_chamber,356
parking_garage/outdoor,61
office_cubicles,106
parking_garage/indoor,166
office,226
orchard,249
pasture,260
watering_hole,321
crosswalk,0
parking_lot,7
wet_bar,113
baseball_field,151
badlands,285
stadium/soccer,312
archive,231
beer_hall,16
butchers_shop,53
landing_deck,78
grotto,92
phone_booth,96
television_studio,162
shoe_shop,228
ruin,269
gas_station,3
hardware_store,42
manufactured_home,83
amusement_park,196
patio,345
pantry,43
dorm_room,48
florist_shop/indoor,118
computer_room,225
lecture_room,293
cafeteria,333
beauty_salon,39
burial_chamber,93
arcade,98
lobby,114
marsh,123
balcony/interior,272
artists_loft,273
server_room,69
racecourse,119
pier,174
arena/hockey,186
stable,276
landfill,307
schoolhouse,265
market/indoor,11
bathroom,100
clean_room,107
garage/outdoor,206
home_theater,232
palace,236
desert_road,242
hangar/outdoor,82
field/cultivated,146
art_school,188
music_studio,23
iceberg,192
chalet,270
classroom,36
carrousel,195
recreation_room,205
porch,275
desert/vegetation,283
pet_shop,55
hotel_room,101
water_park,105
ball_pit,109
trench,180
art_studio,189
lake/natural,240
kindergarden_classroom,295
dining_room,335
gymnasium/indoor,354
pub/indoor,14
alcove,87
water_tower,165
biology_laboratory,193
staircase,277
farm,147
excavation,158
gift_shop,161
train_interior,304
viaduct,313
mountain_snowy,320
auto_factory,341
tundra,238
skyscraper,59
japanese_garden,117
mezzanine,167
ice_skating_rink/indoor,184
kitchen,212
kennel/outdoor,214
banquet_hall,227
rainforest,246
martial_arts_gym,253
bow_window/indoor,258
kasbah,261
barndoor,263
swamp,31
oilrig,90
wave,355
sauna,230
ice_skating_rink/outdoor,72
loading_dock,75
picnic_area,133
park,134
residential_neighborhood,135
driveway,138
veterinarians_office,213
discotheque,19
medina,77
rock_arch,296
beach,316
apartment_building/outdoor,343
bar,15
orchestra_pit,21
forest/broadleaf,140
closet,176
tower,91
hospital,279
basketball_court/indoor,302
fountain,157
waiting_room,336
tree_farm,28
shopfront,65
jail_cell,70
raceway,154
fabric_store,183
heliport,251
coast,315
lawn,149
moat/water,202
atrium/public,280
flea_market/indoor,13
stage/indoor,20
berth,47
amusement_arcade,54
drugstore,67
pavilion,256
bedchamber,274
bedroom,349
airfield,156
bowling_alley,198
canyon,220
beach_house,171
storage_room,182
restaurant,209
bullring,222
river,239
doorway/outdoor,264
hunting_lodge/outdoor,300
library/indoor,38
garage/indoor,44
pharmacy,66
hangar/indoor,175
airplane_cabin,234
hot_spring,294
lock_chamber,74
industrial_area,85
car_interior,235
library/outdoor,278
creek,347
bank_vault,68
vineyard,125
cemetery,141
pond,122
utility_room,178
church/outdoor,327
auto_showroom,330
conference_room,342
downtown,4
bridge,58
roof_garden,144
castle,172
canal/natural,200
mountain,348
ice_floe,267
promenade,18
supermarket,33
bus_station/indoor,62
train_station/platform,79
catacomb,102
escalator/indoor,132
bamboo_forest,224
balcony/exterior,298
stage/outdoor,22
reception,111
boxing_ring,252
gazebo/exterior,266
elevator/door,37
auditorium,40
fire_escape,71
temple/asia,115
stadium/football,325
dining_hall,331
lagoon,29
village,223
arena/rodeo,259
museum/indoor,303
corral,328
windmill,339
elevator_lobby,35
harbor,60
church/indoor,112
igloo,127
natural_history_museum,204
yard,318
throne_room,94
vegetable_garden,143
formal_garden,215
botanical_garden,245
swimming_pool/indoor,329
market/outdoor,187
army_base,351
delicatessen,52
airport_terminal,63
pagoda,88
stadium/baseball,281
general_store/indoor,350
